           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -90            -82.5                5        0.0984475           -0.028        0.0977202       -0.0278147         0.371922        -0.105781
         -86.3265            -82.5                5        0.0726871       -0.0206976        0.0742606       -0.0211457         0.452647         -0.12873
         -82.6531            -82.5                5        0.0572783       -0.0163297         0.047119       -0.0134102         0.524235         -0.14907
         -78.9796            -82.5                5        0.0507931       -0.0144731        0.0477901       -0.0135672         0.593718        -0.168831
         -75.3061            -82.5                5        0.0478831       -0.0136067        0.0827513       -0.0234804         0.663558         -0.18872
         -71.6327            -82.5                5        0.0482741       -0.0136726         0.118427       -0.0336064         0.726623        -0.206679
         -67.9592            -82.5                5         0.051966       -0.0146706         0.154816        -0.043945         0.782912        -0.222707
         -64.2857            -82.5                5        0.0589589       -0.0166008          0.19192       -0.0544965         0.832426        -0.236804
         -60.6122            -82.5                5        0.0692528       -0.0194632         0.229738       -0.0652607         0.875165         -0.24897
         -56.9388            -82.5                5        0.0896199       -0.0251811         0.262085       -0.0744578         0.914912        -0.260267
         -53.2653            -82.5                5         0.135336       -0.0380698         0.258243       -0.0733461         0.959185        -0.272875
         -49.5918            -82.5                5         0.169877        -0.047741         0.239956       -0.0682469         0.986881        -0.280913
         -45.9184            -82.5                5         0.109022        -0.030555         0.295941       -0.0839462          0.99491        -0.282971
         -42.2449            -82.5                5        0.0471235        -0.013078         0.338353       -0.0957469         0.999659        -0.284012
         -38.5714            -82.5                5      -0.00747063       0.00234336         0.358896        -0.101324          1.00199        -0.284322
          -34.898            -82.5                5       -0.0547604        0.0157089         0.357571        -0.100679           1.0019        -0.283901
         -31.2245            -82.5                5       -0.0947456        0.0270188         0.334376       -0.0938104         0.999396        -0.282748
          -27.551            -82.5                5        -0.127426        0.0362728         0.289312       -0.0807187         0.994473        -0.280864
         -23.8776            -82.5                5        -0.152803        0.0434712         0.222379       -0.0614039         0.987132        -0.278249
         -20.2041            -82.5                5        -0.142121        0.0404679         0.215753       -0.0595067          0.89659        -0.253082
         -16.5306            -82.5                5        -0.116789        0.0335596           0.2298       -0.0635795         0.792782        -0.224507
         -12.8571            -82.5                5        -0.118024        0.0340019         0.242283       -0.0670286         0.753417        -0.212974
         -9.18367            -82.5                5        -0.138324        0.0395889         0.241174       -0.0665416         0.748947        -0.210525
          -5.5102            -82.5                5        -0.151179        0.0430726         0.232164       -0.0639214         0.727759        -0.203585
         -1.83673            -82.5                5         -0.15659        0.0444529         0.215254        -0.059168          0.68985        -0.192152
          1.83673            -82.5                5         -0.13629        0.0385698         0.173124       -0.0475052         0.619459        -0.171926
           5.5102            -82.5                5       -0.0871237        0.0245272          0.10334       -0.0282618         0.520149        -0.143785
          9.18367            -82.5                5       -0.0681384        0.0190826        0.0716379       -0.0194699         0.453811        -0.125075
          12.8571            -82.5                5       -0.0689927         0.019308        0.0653598       -0.0176459          0.41093        -0.113011
          16.5306            -82.5                5        -0.067605        0.0189246         0.058134       -0.0155677         0.367963        -0.100878
          20.2041            -82.5                5        -0.063975        0.0179323        0.0499603       -0.0132353         0.324909       -0.0886755
          23.8776            -82.5                5        -0.058103        0.0163312        0.0408388       -0.0106486          0.28177       -0.0764043
           27.551            -82.5                5       -0.0439268        0.0124649        0.0291467       -0.0073738         0.249326        -0.067206
          31.2245            -82.5                5       -0.0360772        0.0103553        0.0231121      -0.00580195         0.212565       -0.0572148
           34.898            -82.5                5       -0.0299986       0.00868204        0.0166208      -0.00410045          0.17809        -0.047861
          38.5714            -82.5                5       -0.0257553       0.00746435       0.00976646      -0.00229369          0.14604       -0.0391772
          42.2449            -82.5                5       -0.0233473       0.00670224       0.00254911     -0.000381685         0.116415       -0.0311633
          45.9184            -82.5                5       -0.0227745       0.00639569      -0.00503126       0.00163557        0.0892145       -0.0238194
          49.5918            -82.5                5       -0.0230163       0.00633348      -0.00894942       0.00269039        0.0676716       -0.0179748
          53.2653            -82.5                5       -0.0224913       0.00619389      -0.00632618       0.00199759         0.052049       -0.0136816
          56.9388            -82.5                5       -0.0226689       0.00628366      -0.00454533       0.00150555        0.0354462      -0.00916217
          60.6122            -82.5                5       -0.0181562       0.00501341      -0.00555783       0.00179884        0.0260982      -0.00661952
          64.2857            -82.5                5       -0.0133849       0.00366733      -0.00682737       0.00215481         0.018704      -0.00459971
          67.9592            -82.5                5       -0.0092946       0.00252053      -0.00793919       0.00245221        0.0119465       -0.0027476
          71.6327            -82.5                5      -0.00588519       0.00157302      -0.00889331       0.00269104       0.00582571      -0.00106318
          75.3061            -82.5                5       -0.0031567       0.00082479      -0.00968971       0.00287128      0.000341678      0.000453542
          78.9796            -82.5                5      -0.00110914      0.000275845       -0.0103284       0.00299294      -0.00450561       0.00180257
          82.6531            -82.5                5      -0.00083394      0.000209128       -0.0109278       0.00314171        -0.008629       0.00293521
          86.3265            -82.5                5      -0.00135588      0.000341021        -0.011329       0.00327394       -0.0115353       0.00369143
               90            -82.5                5      -0.00141265      0.000334661       -0.0113788        0.0033008       -0.0131471       0.00406408
              -90         -79.1327                5        0.0492903        -0.014026        0.0646101       -0.0184096         0.444439         -0.12647
         -86.3265         -79.1327                5        0.0826042       -0.0234964        0.0935352        -0.026608         0.586513        -0.166869
         -82.6531         -79.1327                5        0.0507116         -0.01446        0.0647981       -0.0184323          0.66914        -0.190351
         -78.9796         -79.1327                5         0.037593       -0.0106846        0.0837744       -0.0238002         0.748421        -0.212919
         -75.3061         -79.1327                5        0.0300685      -0.00847945         0.113474       -0.0322238         0.821898        -0.233842
         -71.6327         -79.1327                5        0.0258449      -0.00720646         0.143888       -0.0408601           0.8886        -0.252833
         -67.9592         -79.1327                5        0.0249224      -0.00686565         0.175017       -0.0497092         0.948526        -0.269894
         -64.2857         -79.1327                5        0.0276379      -0.00755419         0.204206       -0.0580099          1.00672        -0.286454
         -60.6122         -79.1327                5        0.0515215       -0.0142789         0.213423       -0.0605647          1.11602        -0.317508
         -56.9388         -79.1327                5         0.141179       -0.0397877         0.248523       -0.0706055          1.28428        -0.365427
         -53.2653         -79.1327                5          0.17558       -0.0495618         0.211796       -0.0601708          1.45678        -0.414019
         -49.5918         -79.1327                5         0.195591       -0.0552055         0.211046       -0.0601722          1.51126        -0.429397
         -45.9184         -79.1327                5         0.172513       -0.0485955         0.378927        -0.108197          1.51257        -0.429085
         -42.2449         -79.1327                5         0.117351       -0.0327996         0.420419        -0.119536          1.49637        -0.423536
         -38.5714         -79.1327                5        0.0512021       -0.0139864         0.426554        -0.120855          1.49198        -0.421755
          -34.898         -79.1327                5      -0.00764261       0.00277115         0.410819        -0.115951          1.48518        -0.419242
         -31.2245         -79.1327                5       -0.0591829        0.0174729         0.373215        -0.104824          1.47596        -0.415998
          -27.551         -79.1327                5        -0.103419         0.030119         0.313742        -0.087474          1.46432        -0.412022
         -23.8776         -79.1327                5        -0.119225        0.0347587         0.260479       -0.0721143          1.42207        -0.399612
         -20.2041         -79.1327                5       -0.0943006        0.0279276         0.268742       -0.0752888          1.29757        -0.364297
         -16.5306         -79.1327                5        -0.130747         0.037783         0.285804       -0.0810427          1.08995        -0.303804
         -12.8571         -79.1327                5        -0.134186        0.0382836         0.264627       -0.0749016         0.944446         -0.26272
         -9.18367         -79.1327                5        -0.133677        0.0377906         0.237227       -0.0654262         0.863871        -0.239898
          -5.5102         -79.1327                5        -0.147934        0.0415589         0.228366       -0.0625914         0.833619        -0.230526
         -1.83673         -79.1327                5        -0.160254        0.0448774          0.22227       -0.0603667         0.779218         -0.21521
          1.83673         -79.1327                5        -0.176695        0.0496903         0.231357       -0.0617954         0.703271        -0.194803
           5.5102         -79.1327                5        -0.141402        0.0396128         0.175426       -0.0459697         0.606845        -0.167417
          9.18367         -79.1327                5        -0.111582         0.030983         0.126669       -0.0324693         0.522463        -0.143513
          12.8571         -79.1327                5        -0.111793         0.030902         0.115453       -0.0293752         0.468426        -0.128425
          16.5306         -79.1327                5        -0.109763        0.0302122         0.103289       -0.0260267         0.414302        -0.113268
          20.2041         -79.1327                5         -0.10549        0.0289135        0.0901776       -0.0224241         0.360092       -0.0980423
          23.8776         -79.1327                5       -0.0848891        0.0234373        0.0671648       -0.0158732         0.296203       -0.0804309
           27.551         -79.1327                5       -0.0590375         0.016481        0.0465293       -0.0104835         0.256729       -0.0691895
          31.2245         -79.1327                5        -0.039841        0.0112005        0.0309146      -0.00685367         0.226005       -0.0603822
           34.898         -79.1327                5       -0.0337474       0.00948716        0.0207624      -0.00468409         0.192473       -0.0510527
